mode,fold_id,model,n_train,n_test,fit_predict_seconds,balanced_accuracy,accuracy,macro_f1,cohen_kappa
within_session,within_s6_0train_run3,CSP+linearSVM,95,18,0.10432020000007469,0.7222222222222222,0.7222222222222222,0.7142857142857142,0.4444444444444444
within_session,within_s6_0train_run4,CSP+LDA,92,21,0.1036626000131946,0.7222222222222222,0.7142857142857143,0.7136363636363636,0.43243243243243246
within_session,within_s6_0train_run4,CSP+linearSVM,92,21,0.10286009999981616,0.7222222222222222,0.7142857142857143,0.7136363636363636,0.43243243243243246
within_session,within_s6_0train_run5,CSP+LDA,98,15,0.11136670000269078,0.4642857142857143,0.4666666666666667,0.4642857142857143,-0.0714285714285714
within_session,within_s6_0train_run5,CSP+linearSVM,98,15,0.13022829999681562,0.5267857142857143,0.5333333333333333,0.5248868778280543,0.05405405405405406
within_session,within_s6_1test_run0,CSP+LDA,87,21,0.11878129999968223,0.7045454545454546,0.7142857142857143,0.6971153846153846,0.41666666666666674
within_session,within_s6_1test_run0,CSP+linearSVM,87,21,0.09765849998802878,0.7045454545454546,0.7142857142857143,0.6971153846153846,0.41666666666666674
within_session,within_s6_1test_run1,CSP+LDA,93,15,0.1039359999995213,0.8035714285714286,0.8,0.8,0.6017699115044248
within_session,within_s6_1test_run1,CSP+linearSVM,93,15,0.11989760000142269,0.75,0.7333333333333333,0.7222222222222222,0.48275862068965514
within_session,within_s6_1test_run2,CSP+LDA,94,14,0.10760339999978896,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.4285714285714286
within_session,within_s6_1test_run2,CSP+linearSVM,94,14,0.10152379999635741,0.7857142857142857,0.7857142857142857,0.7846153846153847,0.5714285714285714
within_session,within_s6_1test_run3,CSP+LDA,88,20,0.09645279998949263,0.65,0.65,0.6266666666666667,0.30000000000000004
within_session,within_s6_1test_run3,CSP+linearSVM,88,20,0.09769039999810047,0.6000000000000001,0.6,0.5833333333333333,0.19999999999999996
