condition,subject,seed,balanced_accuracy,accuracy,n_trials,n_classes_present,zero_recall_count,zero_recall_classes,dominant_prediction_share,prediction_entropy_bits,recall_class_1,recall_class_2,recall_class_3,recall_class_4
Q8-E001,2,20260925,0.2638888888888889,0.2638888888888889,576,4,0,,0.8090277777777778,0.949594124567251,0.1597222222222222,0.0763888888888889,0.7847222222222222,0.034722222222222224
Q8-E001,2,20260926,0.2986111111111111,0.2986111111111111,576,4,0,,0.5538194444444444,1.414226773617765,0.6458333333333334,0.1527777777777778,0.3888888888888889,0.006944444444444444
Q8-E001,3,20260924,0.6215277777777778,0.6215277777777778,576,4,0,,0.4079861111111111,1.8964967942403848,0.6041666666666666,0.5416666666666666,0.7708333333333334,0.5694444444444444
Q8-E001,3,20260925,0.5989583333333333,0.5989583333333334,576,4,0,,0.5451388888888888,1.6887384408452963,0.5763888888888888,0.5277777777777778,0.3194444444444444,0.9722222222222222
Q8-E001,3,20260926,0.6059027777777778,0.6059027777777778,576,4,0,,0.4322916666666667,1.8099802520993982,0.3541666666666667,0.6041666666666666,0.6388888888888888,0.8263888888888888
Q8-E001,4,20260924,0.3611111111111111,0.3611111111111111,576,4,0,,0.5902777777777778,1.5671695274870072,0.2847222222222222,0.8611111111111112,0.1875,0.1111111111111111
Q8-E001,4,20260925,0.3576388888888889,0.3576388888888889,576,4,0,,0.5104166666666666,1.4469201219300838,0.10416666666666667,0.7777777777777778,0.5069444444444444,0.041666666666666664
Q8-E001,4,20260926,0.3888888888888889,0.3888888888888889,576,4,0,,0.453125,1.5515452555229143,0.013888888888888888,0.6805555555555556,0.5833333333333334,0.2777777777777778
Q8-E001,5,20260924,0.2465277777777778,0.2465277777777778,576,4,2,3;4,0.6336805555555556,0.9478040857438581,0.5972222222222222,0.3888888888888889,0.0,0.0
Q8-E001,5,20260925,0.2534722222222222,0.2534722222222222,576,4,2,3;4,0.5625,0.9886994082884974,0.4444444444444444,0.5694444444444444,0.0,0.0
Q8-E001,5,20260926,0.2517361111111111,0.2517361111111111,576,4,2,3;4,0.9253472222222222,0.3830517849790642,0.9375,0.06944444444444445,0.0,0.0
Q8-E001,6,20260924,0.265625,0.265625,576,4,0,,0.4913194444444444,1.4354819649873525,0.034722222222222224,0.16666666666666666,0.4305555555555556,0.4305555555555556
Q8-E001,6,20260925,0.2795138888888889,0.2795138888888889,576,4,0,,0.7378472222222222,1.1422288848313342,0.0625,0.09722222222222222,0.13194444444444445,0.8263888888888888
Q8-E001,6,20260926,0.3107638888888889,0.3107638888888889,576,4,0,,0.6388888888888888,1.4589934312988917,0.1597222222222222,0.2013888888888889,0.625,0.2569444444444444
Q8-E001,7,20260924,0.2829861111111111,0.2829861111111111,576,4,0,,0.5434027777777778,1.1418067050769158,0.5902777777777778,0.4791666666666667,0.013888888888888888,0.04861111111111111
Q8-E001,7,20260925,0.3125,0.3125,576,4,0,,0.4305555555555556,1.692775340392216,0.3819444444444444,0.4652777777777778,0.06944444444444445,0.3333333333333333
Q8-E001,7,20260926,0.3142361111111111,0.3142361111111111,576,4,0,,0.5138888888888888,1.509433578558531,0.5347222222222222,0.4236111111111111,0.041666666666666664,0.2569444444444444
Q8-E001,8,20260924,0.609375,0.609375,576,4,0,,0.46875,1.8112397498982231,0.6527777777777778,0.9097222222222222,0.3263888888888889,0.5486111111111112
Q8-E001,8,20260925,0.642361111111111,0.6423611111111112,576,4,0,,0.3888888888888889,1.914744544546654,0.5416666666666666,0.8888888888888888,0.5416666666666666,0.5972222222222222
Q8-E001,8,20260926,0.7118055555555556,0.7118055555555556,576,4,0,,0.3003472222222222,1.9813203860058446,0.6736111111111112,0.8402777777777778,0.6388888888888888,0.6944444444444444
