condition,subject,seed,dimension,stratum,n_trials,n_classes_present,balanced_accuracy_observed_classes,accuracy,recall_class_1,recall_class_2,recall_class_3,recall_class_4
Q9-E001/MID_8_30,7,20260924,session,1test,288,4,0.3472222222222222,0.3472222222222222,0.6111111111111112,0.3611111111111111,0.06944444444444445,0.3472222222222222
Q9-E001/MID_8_30,7,20260925,artifact,False,548,4,0.3451746653031959,0.3448905109489051,0.5942028985507246,0.4148148148148148,0.07971014492753623,0.291970802919708
Q9-E001/MID_8_30,7,20260925,artifact,True,28,4,0.45436507936507936,0.4642857142857143,0.8333333333333334,0.5555555555555556,0.0,0.42857142857142855
Q9-E001/MID_8_30,7,20260925,session,0train,288,4,0.3263888888888889,0.3263888888888889,0.5972222222222222,0.4583333333333333,0.041666666666666664,0.20833333333333334
Q9-E001/MID_8_30,7,20260925,session,1test,288,4,0.375,0.375,0.6111111111111112,0.3888888888888889,0.1111111111111111,0.3888888888888889
Q9-E001/MID_8_30,7,20260926,artifact,False,548,4,0.33493306063918565,0.33394160583941607,0.3188405797101449,0.4962962962962963,0.13043478260869565,0.39416058394160586
Q9-E001/MID_8_30,7,20260926,artifact,True,28,4,0.37896825396825395,0.42857142857142855,0.16666666666666666,0.7777777777777778,0.0,0.5714285714285714
Q9-E001/MID_8_30,7,20260926,session,0train,288,4,0.3020833333333333,0.3020833333333333,0.25,0.5972222222222222,0.08333333333333333,0.2777777777777778
Q9-E001/MID_8_30,7,20260926,session,1test,288,4,0.375,0.375,0.375,0.4305555555555556,0.16666666666666666,0.5277777777777778
Q9-E001/MID_8_30,8,20260924,artifact,False,535,4,0.5914975252401896,0.5906542056074766,0.7348484848484849,0.9552238805970149,0.3082706766917293,0.36764705882352944
Q9-E001/MID_8_30,8,20260924,artifact,True,41,4,0.546969696969697,0.5609756097560976,0.5833333333333334,0.9,0.45454545454545453,0.25
Q9-E001/MID_8_30,8,20260924,session,0train,288,4,0.6215277777777778,0.6215277777777778,0.7222222222222222,0.9583333333333334,0.3888888888888889,0.4166666666666667
Q9-E001/MID_8_30,8,20260924,session,1test,288,4,0.5555555555555556,0.5555555555555556,0.7222222222222222,0.9444444444444444,0.25,0.3055555555555556
Q9-E001/MID_8_30,8,20260925,artifact,False,535,4,0.6404657922942083,0.6411214953271028,0.4318181818181818,0.8731343283582089,0.6466165413533834,0.6102941176470589
Q9-E001/MID_8_30,8,20260925,artifact,True,41,4,0.5134469696969697,0.5121951219512195,0.3333333333333333,0.8,0.5454545454545454,0.375
Q9-E001/MID_8_30,8,20260925,session,0train,288,4,0.6423611111111112,0.6423611111111112,0.4583333333333333,0.8472222222222222,0.6805555555555556,0.5833333333333334
Q9-E001/MID_8_30,8,20260925,session,1test,288,4,0.6215277777777778,0.6215277777777778,0.3888888888888889,0.8888888888888888,0.5972222222222222,0.6111111111111112
Q9-E001/MID_8_30,8,20260926,artifact,False,535,4,0.5097995144997941,0.508411214953271,0.7424242424242424,0.9776119402985075,0.13533834586466165,0.18382352941176472
Q9-E001/MID_8_30,8,20260926,artifact,True,41,4,0.46590909090909094,0.4878048780487805,0.5,1.0,0.36363636363636365,0.0
Q9-E001/MID_8_30,8,20260926,session,0train,288,4,0.4791666666666667,0.4791666666666667,0.7222222222222222,0.9722222222222222,0.125,0.09722222222222222
Q9-E001/MID_8_30,8,20260926,session,1test,288,4,0.5347222222222222,0.5347222222222222,0.7222222222222222,0.9861111111111112,0.18055555555555555,0.25
Q9-E001/MID_8_30,9,20260924,artifact,False,501,4,0.6429350146675359,0.6407185628742516,0.7372881355932204,0.359375,0.7230769230769231,0.752
Q9-E001/MID_8_30,9,20260924,artifact,True,75,4,0.644031954887218,0.6266666666666667,0.5,0.625,0.7142857142857143,0.7368421052631579
Q9-E001/MID_8_30,9,20260924,session,0train,288,4,0.6944444444444444,0.6944444444444444,0.8333333333333334,0.4861111111111111,0.6388888888888888,0.8194444444444444
Q9-E001/MID_8_30,9,20260924,session,1test,288,4,0.5833333333333334,0.5833333333333334,0.5555555555555556,0.2916666666666667,0.8055555555555556,0.6805555555555556
Q9-E001/MID_8_30,9,20260925,artifact,False,501,4,0.607481543350717,0.6027944111776448,0.7457627118644068,0.390625,0.46153846153846156,0.832
Q9-E001/MID_8_30,9,20260925,artifact,True,75,4,0.6842376373626373,0.7066666666666667,0.6923076923076923,0.6875,0.35714285714285715,1.0
Q9-E001/MID_8_30,9,20260925,session,0train,288,4,0.6458333333333334,0.6458333333333334,0.8611111111111112,0.5138888888888888,0.3611111111111111,0.8472222222222222
Q9-E001/MID_8_30,9,20260925,session,1test,288,4,0.5868055555555556,0.5868055555555556,0.6111111111111112,0.3333333333333333,0.5416666666666666,0.8611111111111112
Q9-E001/MID_8_30,9,20260926,artifact,False,501,4,0.6080166028357236,0.6047904191616766,0.652542372881356,0.2890625,0.5384615384615384,0.952
Q9-E001/MID_8_30,9,20260926,artifact,True,75,4,0.578125,0.5866666666666667,0.5,0.3125,0.5,1.0
Q9-E001/MID_8_30,9,20260926,session,0train,288,4,0.6145833333333334,0.6145833333333334,0.6666666666666666,0.3611111111111111,0.4444444444444444,0.9861111111111112
Q9-E001/MID_8_30,9,20260926,session,1test,288,4,0.5902777777777778,0.5902777777777778,0.5833333333333334,0.2222222222222222,0.625,0.9305555555555556
Q9-E001/MU_8_13,1,20260924,artifact,False,554,4,0.5460040160282347,0.5469314079422383,0.8214285714285714,0.539568345323741,0.5766423357664233,0.2463768115942029
Q9-E001/MU_8_13,1,20260924,artifact,True,22,4,0.525,0.45454545454545453,1.0,0.6,0.0,0.5
Q9-E001/MU_8_13,1,20260924,session,0train,288,4,0.5277777777777778,0.5277777777777778,0.7916666666666666,0.5,0.4444444444444444,0.375
Q9-E001/MU_8_13,1,20260924,session,1test,288,4,0.5590277777777778,0.5590277777777778,0.8611111111111112,0.5833333333333334,0.6527777777777778,0.1388888888888889
Q9-E001/MU_8_13,1,20260925,artifact,False,554,4,0.5983020773842005,0.5992779783393501,0.5857142857142857,0.7410071942446043,0.17518248175182483,0.8913043478260869
Q9-E001/MU_8_13,1,20260925,artifact,True,22,4,0.475,0.45454545454545453,0.5,0.4,0.0,1.0
Q9-E001/MU_8_13,1,20260925,session,0train,288,4,0.5625,0.5625,0.5416666666666666,0.6111111111111112,0.16666666666666666,0.9305555555555556
Q9-E001/MU_8_13,1,20260925,session,1test,288,4,0.625,0.625,0.625,0.8472222222222222,0.16666666666666666,0.8611111111111112
