fold,subject,model,stratum,true_label,predicted_label,count
loso_s2,2,FBCSP_MI8_LDA,all,2,4,11
loso_s2,2,FBCSP_MI8_LDA,all,3,1,79
loso_s2,2,FBCSP_MI8_LDA,all,3,2,39
loso_s2,2,FBCSP_MI8_LDA,all,3,3,11
loso_s2,2,FBCSP_MI8_LDA,all,3,4,15
loso_s2,2,FBCSP_MI8_LDA,all,4,1,58
loso_s2,2,FBCSP_MI8_LDA,all,4,2,63
loso_s2,2,FBCSP_MI8_LDA,all,4,3,11
loso_s2,2,FBCSP_MI8_LDA,all,4,4,12
loso_s2,2,FBCSP_MI8_LDA,unflagged,1,1,45
loso_s2,2,FBCSP_MI8_LDA,unflagged,1,2,73
loso_s2,2,FBCSP_MI8_LDA,unflagged,1,3,16
loso_s2,2,FBCSP_MI8_LDA,unflagged,1,4,4
loso_s2,2,FBCSP_MI8_LDA,unflagged,2,1,36
loso_s2,2,FBCSP_MI8_LDA,unflagged,2,2,82
loso_s2,2,FBCSP_MI8_LDA,unflagged,2,3,11
loso_s2,2,FBCSP_MI8_LDA,unflagged,2,4,11
loso_s2,2,FBCSP_MI8_LDA,unflagged,3,1,75
loso_s2,2,FBCSP_MI8_LDA,unflagged,3,2,35
loso_s2,2,FBCSP_MI8_LDA,unflagged,3,3,11
loso_s2,2,FBCSP_MI8_LDA,unflagged,3,4,14
loso_s2,2,FBCSP_MI8_LDA,unflagged,4,1,57
loso_s2,2,FBCSP_MI8_LDA,unflagged,4,2,61
loso_s2,2,FBCSP_MI8_LDA,unflagged,4,3,11
loso_s2,2,FBCSP_MI8_LDA,unflagged,4,4,11
loso_s2,2,FBCSP_MI8_LDA,flagged,1,1,3
loso_s2,2,FBCSP_MI8_LDA,flagged,1,2,2
loso_s2,2,FBCSP_MI8_LDA,flagged,1,3,0
loso_s2,2,FBCSP_MI8_LDA,flagged,1,4,1
loso_s2,2,FBCSP_MI8_LDA,flagged,2,1,1
loso_s2,2,FBCSP_MI8_LDA,flagged,2,2,2
loso_s2,2,FBCSP_MI8_LDA,flagged,2,3,1
loso_s2,2,FBCSP_MI8_LDA,flagged,2,4,0
loso_s2,2,FBCSP_MI8_LDA,flagged,3,1,4
loso_s2,2,FBCSP_MI8_LDA,flagged,3,2,4
loso_s2,2,FBCSP_MI8_LDA,flagged,3,3,0
loso_s2,2,FBCSP_MI8_LDA,flagged,3,4,1
loso_s2,2,FBCSP_MI8_LDA,flagged,4,1,1
loso_s2,2,FBCSP_MI8_LDA,flagged,4,2,2
loso_s2,2,FBCSP_MI8_LDA,flagged,4,3,0
loso_s2,2,FBCSP_MI8_LDA,flagged,4,4,1
loso_s3,3,BroadCSP_LDA,all,1,1,133
loso_s3,3,BroadCSP_LDA,all,1,2,0
loso_s3,3,BroadCSP_LDA,all,1,3,9
loso_s3,3,BroadCSP_LDA,all,1,4,2
loso_s3,3,BroadCSP_LDA,all,2,1,59
loso_s3,3,BroadCSP_LDA,all,2,2,46
loso_s3,3,BroadCSP_LDA,all,2,3,12
loso_s3,3,BroadCSP_LDA,all,2,4,27
loso_s3,3,BroadCSP_LDA,all,3,1,31
loso_s3,3,BroadCSP_LDA,all,3,2,0
loso_s3,3,BroadCSP_LDA,all,3,3,98
loso_s3,3,BroadCSP_LDA,all,3,4,15
loso_s3,3,BroadCSP_LDA,all,4,1,61
loso_s3,3,BroadCSP_LDA,all,4,2,1
loso_s3,3,BroadCSP_LDA,all,4,3,31
loso_s3,3,BroadCSP_LDA,all,4,4,51
loso_s3,3,BroadCSP_LDA,unflagged,1,1,127
loso_s3,3,BroadCSP_LDA,unflagged,1,2,0
loso_s3,3,BroadCSP_LDA,unflagged,1,3,7
loso_s3,3,BroadCSP_LDA,unflagged,1,4,2
loso_s3,3,BroadCSP_LDA,unflagged,2,1,57
loso_s3,3,BroadCSP_LDA,unflagged,2,2,44
loso_s3,3,BroadCSP_LDA,unflagged,2,3,11
loso_s3,3,BroadCSP_LDA,unflagged,2,4,26
loso_s3,3,BroadCSP_LDA,unflagged,3,1,27
loso_s3,3,BroadCSP_LDA,unflagged,3,2,0
loso_s3,3,BroadCSP_LDA,unflagged,3,3,93
loso_s3,3,BroadCSP_LDA,unflagged,3,4,14
loso_s3,3,BroadCSP_LDA,unflagged,4,1,56
loso_s3,3,BroadCSP_LDA,unflagged,4,2,1
loso_s3,3,BroadCSP_LDA,unflagged,4,3,29
loso_s3,3,BroadCSP_LDA,unflagged,4,4,49
loso_s3,3,BroadCSP_LDA,flagged,1,1,6
loso_s3,3,BroadCSP_LDA,flagged,1,2,0
loso_s3,3,BroadCSP_LDA,flagged,1,3,2
loso_s3,3,BroadCSP_LDA,flagged,1,4,0
loso_s3,3,BroadCSP_LDA,flagged,2,1,2
loso_s3,3,BroadCSP_LDA,flagged,2,2,2
loso_s3,3,BroadCSP_LDA,flagged,2,3,1
loso_s3,3,BroadCSP_LDA,flagged,2,4,1
loso_s3,3,BroadCSP_LDA,flagged,3,1,4
loso_s3,3,BroadCSP_LDA,flagged,3,2,0
loso_s3,3,BroadCSP_LDA,flagged,3,3,5
