fold,subject,stage,inner_fold,seed,selected_epochs,selection_rule,epoch,train_ce,val_ce
loso_s6,6,full,,20260924,15,mean_rank,4,1.2220549633105595,
loso_s6,6,full,,20260924,15,mean_rank,5,1.1769022974703047,
loso_s6,6,full,,20260924,15,mean_rank,6,1.1500817818774118,
loso_s6,6,full,,20260924,15,mean_rank,7,1.0981638481219609,
loso_s6,6,full,,20260924,15,mean_rank,8,1.0819045073456235,
loso_s6,6,full,,20260924,15,mean_rank,9,1.0705940284662776,
loso_s6,6,full,,20260924,15,mean_rank,10,1.0539620278610125,
loso_s6,6,full,,20260924,15,mean_rank,11,1.0406537105639777,
loso_s6,6,full,,20260924,15,mean_rank,12,1.0496392134163115,
loso_s6,6,full,,20260924,15,mean_rank,13,1.0286881277958553,
loso_s6,6,full,,20260924,15,mean_rank,14,1.0285854952202902,
loso_s6,6,full,,20260924,15,mean_rank,15,1.013716330130895,
loso_s6,6,full,,20260925,15,mean_rank,1,1.3759026461177402,
loso_s6,6,full,,20260925,15,mean_rank,2,1.3238902936379116,
loso_s6,6,full,,20260925,15,mean_rank,3,1.2588429401318233,
loso_s6,6,full,,20260925,15,mean_rank,4,1.19555716878838,
loso_s6,6,full,,20260925,15,mean_rank,5,1.1604461669921875,
loso_s6,6,full,,20260925,15,mean_rank,6,1.1355275395843718,
loso_s6,6,full,,20260925,15,mean_rank,7,1.1105864975187514,
loso_s6,6,full,,20260925,15,mean_rank,8,1.0916544265217252,
loso_s6,6,full,,20260925,15,mean_rank,9,1.068613635169135,
loso_s6,6,full,,20260925,15,mean_rank,10,1.0608241193824344,
loso_s6,6,full,,20260925,15,mean_rank,11,1.0376175724797778,
loso_s6,6,full,,20260925,15,mean_rank,12,1.0315291550424364,
loso_s6,6,full,,20260925,15,mean_rank,13,1.0420751000444095,
loso_s6,6,full,,20260925,15,mean_rank,14,1.0174012192421489,
loso_s6,6,full,,20260925,15,mean_rank,15,1.0155296590593126,
loso_s6,6,full,,20260926,15,mean_rank,1,1.3757275243600209,
